classifier,Acc,Auc
LogisticRegression,0.773753280839895,0.8523942634905182
DecisionTree,0.7863517060367454,0.7921753182448369
Random Forest,0.7863517060367454,0.8592751264876944
GBT,0.7910761154855643,0.8635975395667943
